Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
43A_e,304,312,252,252,266,266,392,400,329,353,208,242,435,437,230,234
43A_e,282,296,244,260,254,274,394,400,335,343,208,208,423,433,240,240
43A_e,300,308,254,262,266,274,398,398,341,343,228,228,419,437,232,240
43A_e,292,292,238,254,254,274,394,398,355,359,228,228,423,423,230,240
43A_e,284,304,244,264,264,274,394,394,339,343,210,220,417,421,282,284
43A_e,284,304,242,246,254,270,396,398,329,339,238,254,429,455,248,248
43A_e,282,282,248,252,242,258,400,406,331,331,208,210,427,431,240,242
43A_e,276,310,236,246,254,266,396,398,339,351,214,220,417,429,240,280
43A_e,292,308,244,254,244,254,392,410,339,345,208,228,419,423,230,232
43A_e,304,308,260,262,260,274,394,396,335,343,226,236,419,433,240,240
43A_e,292,300,244,254,244,254,398,398,335,335,228,236,423,439,240,240
43A_e,300,306,244,262,254,266,392,398,335,339,214,226,429,439,232,232
43A_e,292,308,250,254,266,274,392,398,335,339,208,228,419,429,240,240
43A_n,302,304,236,262,254,258,390,398,339,339,222,232,435,453,228,234
43A_n,304,304,234,236,254,258,392,404,331,333,214,220,411,447,228,228
43A_n,284,304,246,262,258,282,386,386,339,349,218,238,411,413,234,234
43A_n,300,304,262,268,254,262,394,396,329,343,204,228,419,437,214,240
43A_n,304,308,236,262,258,258,386,398,329,339,218,232,421,431,228,234
43A_n,278,308,236,262,260,276,386,400,329,333,232,236,429,433,234,246
44_e,306,308,248,252,262,266,368,394,357,367,234,238,431,431,222,228
44_e,268,282,244,262,262,262,386,398,331,331,224,228,425,429,220,220
44_e,268,282,244,244,262,262,386,396,331,347,212,236,423,423,236,246
44_e,308,314,260,262,262,286,386,392,333,339,224,224,433,451,262,264
44_e,304,306,250,262,262,266,370,410,333,351,210,220,427,431,220,228
44_e,304,306,240,258,270,274,394,394,351,361,224,238,425,439,222,246
44_e,296,300,254,260,266,270,368,408,337,357,234,262,431,451,216,220
44_e,300,308,248,262,266,278,368,386,333,357,212,226,433,451,222,222
44_e,304,304,248,256,266,270,368,384,349,357,226,226,427,431,228,236
44_e,316,318,258,258,242,286,394,408,333,333,220,230,427,447,220,220
44_e,300,314,228,250,258,262,368,378,333,337,220,224,431,431,230,246
44_e,308,314,246,250,262,266,368,368,333,345,212,224,427,431,212,224
44_e,310,316,262,262,254,270,368,386,329,333,208,226,425,433,222,246
44_e,290,294,258,260,254,258,366,396,337,341,234,234,421,425,254,268
44_e,306,306,246,250,262,262,368,398,337,345,224,224,417,431,230,246
44_e,278,306,246,262,262,266,368,368,333,345,212,224,427,431,212,224
44_e,314,316,252,262,262,266,390,408,377,377,226,250,417,427,320,324
44_e,278,306,246,250,262,262,368,408,365,371,230,234,427,431,228,320
44_e,268,300,254,258,242,270,392,408,331,357,220,226,419,447,226,226
44_e,304,308,244,248,254,286,386,394,335,355,228,236,421,451,220,220
44_e,268,268,248,262,254,266,386,394,361,365,212,232,425,431,222,246
44_e,302,304,246,260,250,262,396,406,345,355,226,226,417,425,222,246
44_e,278,308,246,262,262,266,368,368,353,365,214,246,429,431,318,318
44_e,268,302,244,260,254,262,406,408,341,353,226,246,427,439,220,220
44_e,304,308,248,258,278,278,404,412,341,361,224,236,419,429,220,246
44_e,268,304,246,250,250,258,378,406,339,347,224,224,405,421,230,230
44_e,296,296,246,246,254,278,388,388,333,335,224,226,431,431,222,222
44_e,302,306,230,256,254,286,428,446,333,337,214,220,433,447,222,222
44_e,298,300,244,258,262,262,394,410,333,351,234,234,427,449,222,322
44_e,312,320,246,254,250,274,368,402,337,337,222,230,419,429,254,258
44_e,308,322,248,258,254,274,386,394,357,361,228,232,421,427,220,246
44_e,278,316,250,262,266,278,368,386,347,357,224,228,427,427,234,246
44_e,314,314,246,246,244,248,382,400,339,345,210,224,427,427,234,250
44_e,292,308,260,270,262,270,386,394,333,367,228,230,427,433,246,246
44_e,308,316,246,260,262,266,368,394,337,345,214,234,427,451,246,246
44_e,306,308,240,260,250,270,384,384,351,355,228,232,419,427,222,246
44_e,298,308,232,250,272,286,396,432,333,361,232,232,427,447,222,222
44_e,278,278,258,262,264,272,368,388,333,339,224,232,427,433,234,234
44_e,268,306,248,258,274,286,396,410,331,361,224,230,427,431,220,222
44_e,308,316,254,262,262,266,368,368,321,331,214,224,427,431,220,224
44_n,282,316,244,252,262,266,378,398,339,353,218,224,425,433,252,254
44_n,312,318,240,244,262,262,392,408,333,351,218,224,431,439,234,234
44_n,298,306,248,258,254,266,386,392,339,361,208,212,425,431,246,248
44_n,306,308,248,250,266,266,368,368,333,353,220,230,423,431,312,312
44_n,268,308,244,258,258,266,390,392,339,351,214,228,419,435,234,234
44_n,292,302,244,262,262,286,374,392,333,345,226,236,423,443,244,254
44_n,296,314,250,260,242,286,386,390,313,331,220,224,433,433,210,210
44_n,316,324,240,248,250,278,402,404,337,345,226,228,425,429,246,252
44_n,292,316,244,248,278,286,374,374,333,345,226,226,423,429,226,244
44_n,268,268,256,262,254,278,368,392,329,367,208,224,431,445,254,254
44_n,302,324,244,248,250,286,386,398,333,337,226,234,425,443,244,244
44_n,292,302,244,262,262,286,374,392,333,345,226,236,423,441,244,244
44_n,302,308,260,260,262,262,392,414,357,361,228,234,427,453,222,222
44_n,300,302,244,262,262,266,370,370,333,339,214,230,429,453,306,334
44_n,306,312,242,256,262,262,374,392,333,353,208,210,425,425,222,230
44_n,302,310,242,262,242,262,418,424,333,339,234,234,423,433,236,254
44_n,308,320,250,258,262,266,378,378,345,357,218,228,425,433,220,254
44_n,290,308,246,266,246,262,416,416,345,361,224,228,419,431,338,340
44_n,302,312,260,262,258,262,474,474,333,351,236,236,423,423,230,254
44_n,310,318,240,250,258,274,398,398,333,333,236,238,419,419,224,250
44_n,318,326,250,272,250,272,370,394,321,337,234,246,429,429,240,240
44_n,268,300,248,260,266,270,374,386,351,357,214,222,431,469,234,240
44_n,288,288,234,238,254,266,394,404,353,361,218,230,433,457,246,248
44_n,302,312,244,260,262,262,390,392,333,357,226,234,427,443,222,254
44_n,296,314,252,258,258,262,366,366,333,351,208,214,427,433,230,230
44_n,324,326,252,258,254,262,378,392,353,359,224,230,425,459,248,254
44_s,308,318,242,250,254,262,390,396,333,345,222,224,429,429,220,220
44_s,284,304,246,262,262,270,388,388,331,333,210,230,429,449,220,230
44_s,304,316,230,254,250,270,410,418,333,349,212,224,423,431,240,242
44_s,302,314,256,260,258,274,396,398,333,335,224,232,431,431,240,240
44_s,304,310,260,260,258,274,480,482,335,343,208,234,423,423,220,238
44_s,296,314,234,260,258,266,386,394,333,337,226,238,423,429,244,284
44_s,230,256,230,266,258,274,394,412,335,335,218,224,415,429,246,246
44_s,296,314,250,254,246,250,386,386,345,365,214,220,421,433,220,234
44_s,300,302,258,266,254,266,368,398,341,343,222,224,425,449,240,240
44_s,296,306,254,260,258,266,392,394,343,347,226,238,423,423,220,244
44_s,308,318,242,250,254,262,388,394,333,345,222,224,429,439,218,220
44_s,316,318,242,258,254,270,388,414,333,343,220,222,429,451,222,260
44_s,278,316,248,258,258,274,398,398,351,355,232,238,423,431,246,270
44_s,300,300,244,254,258,258,388,396,355,363,222,222,431,431,258,260
44_s,304,310,230,260,258,274,398,404,345,349,216,224,421,427,220,240
44_s,300,316,258,258,258,258,396,402,337,339,232,234,421,433,228,270
44_s,302,314,234,260,234,246,372,396,333,335,224,234,431,449,218,220
44_s,268,316,230,260,230,268,386,402,349,357,214,222,423,429,234,240
44_s,296,316,264,266,274,274,410,410,333,343,210,234,431,433,240,270
44_s,284,306,246,254,258,262,388,392,333,333,230,238,423,429,220,220
46_e,334,336,246,250,258,270,406,408,343,343,222,242,427,427,228,228
46_e,310,320,244,256,250,270,400,410,333,337,222,236,429,431,256,258
46_e,278,300,250,262,246,260,378,382,339,367,232,238,421,427,232,236
46_e,304,312,230,230,258,274,386,396,327,337,220,226,419,427,216,222
46_e,268,300,248,250,250,262,390,392,337,337,208,208,431,451,254,254
46_e,304,320,260,262,258,276,408,408,333,343,218,242,429,449,220,222
46_e,308,310,246,260,254,258,386,396,335,347,222,230,429,429,264,266
46_n,278,308,256,262,254,282,394,406,333,339,224,230,433,451,220,224
46_n,288,314,248,264,262,278,388,404,343,345,208,230,427,431,228,236
46_n,268,296,234,238,258,266,350,382,333,353,224,238,425,425,222,222
46_n,300,314,248,258,246,254,392,398,343,349,206,238,427,451,268,268
46_n,300,300,248,260,246,270,408,408,343,347,226,232,425,443,290,292
46_n,304,314,230,246,254,270,396,400,353,375,220,226,423,427,260,262
46_n,290,304,262,270,262,262,396,398,343,345,208,224,429,433,220,254
48B_e,288,290,230,276,258,278,384,384,331,353,208,232,429,433,250,252
48B_e,274,304,248,264,262,262,412,418,333,351,204,212,419,439,296,320
48B_e,288,300,250,264,258,266,390,390,333,337,220,226,427,427,222,226
48B_e,278,296,250,260,254,258,380,416,331,331,220,226,429,429,244,244
48B_e,306,308,260,262,262,270,402,408,329,333,210,226,425,427,316,318
48B_e,248,250,248,248,262,266,384,396,335,341,218,232,419,429,226,244
48B_e,290,292,262,276,258,258,382,382,329,331,208,224,419,431,244,244
48B_e,288,308,260,274,258,258,384,384,353,373,208,218,427,427,252,316
48B_e,256,256,260,262,262,270,396,396,329,333,210,226,427,441,222,222
48B_e,258,296,242,252,274,278,382,386,331,333,226,232,419,431,252,252
48B_e,300,316,244,258,266,270,386,460,337,349,226,226,427,441,218,220
48B_s,270,308,236,270,242,258,390,394,333,351,242,244,427,429,250,252
48B_s,270,304,234,236,246,262,372,392,333,347,220,226,429,433,234,234
48B_s,284,322,236,258,242,266,410,418,327,333,230,234,439,439,256,312
48B_s,306,308,244,250,262,270,394,408,333,335,242,262,429,443,242,262
48B_s,304,314,258,270,258,258,394,394,331,333,218,226,425,433,228,234
48B_s,304,306,236,262,258,258,390,392,333,333,220,238,427,431,258,264
48B_s,272,306,236,268,258,258,390,392,333,353,238,238,427,431,252,252
48B_s,290,324,230,254,260,264,372,392,333,347,220,226,429,431,214,222
48B_s,274,274,250,262,270,278,394,404,333,333,208,232,419,429,252,254
48B_s,304,312,256,270,250,250,386,388,333,337,226,226,423,429,268,270
54B_e,308,310,246,256,252,270,388,388,333,333,224,224,429,429,220,240
54B_e,304,310,252,258,242,246,368,368,333,337,224,232,431,431,250,252
54B_e,310,310,230,256,246,254,368,408,333,337,210,224,427,427,308,344
54B_e,310,310,258,258,242,242,368,392,333,333,208,236,429,429,236,254
54B_e,306,310,252,256,246,262,368,368,333,337,224,224,429,433,220,224
54B_e,302,304,246,258,258,270,368,390,333,347,210,224,427,433,304,306
54B_e,302,310,230,260,254,258,384,386,333,335,210,224,419,427,218,220
54B_e,310,312,258,260,254,286,368,368,333,333,224,224,429,441,222,224
54B_e,308,310,242,252,246,262,384,388,331,333,226,230,425,439,220,254
54B_e,272,312,242,246,254,266,384,384,333,355,206,212,431,453,254,256
54B_e,298,308,242,242,258,278,400,402,335,335,210,224,427,439,218,218
54B_e,298,306,242,256,262,278,368,368,333,333,224,224,429,439,330,332
54B_e,310,312,256,256,262,286,368,368,333,337,222,224,427,427,222,222
54B_e,302,306,256,260,246,286,368,368,353,363,246,256,433,443,224,224
54B_e,306,308,244,256,246,286,368,368,355,355,220,236,417,429,330,332
54B_e,310,312,246,256,246,278,368,370,353,363,224,236,433,443,332,334
54B_e,304,318,244,250,274,286,368,394,353,353,208,222,419,431,218,218
54B_e,304,304,252,258,258,274,368,386,349,355,224,224,429,437,254,254
54B_e,278,308,246,256,262,270,368,382,335,335,208,236,427,429,222,222
54B_e,272,272,244,248,258,278,380,380,337,337,208,238,423,425,308,308
54B_e,310,312,256,260,262,286,312,312,333,337,220,224,429,429,222,222
54B_e,316,326,256,264,250,254,386,388,335,347,222,222,447,447,242,336
54B_e,292,312,246,258,270,274,412,412,335,345,208,224,429,429,308,308
54B_e,298,300,244,248,242,266,396,398,331,347,224,224,429,437,222,222
54B_e,272,296,246,260,270,278,326,376,333,357,224,230,431,445,258,260
54B_e,272,308,242,260,270,278,368,368,333,357,214,224,431,445,222,222
54B_e,272,296,244,262,270,274,368,368,335,347,224,238,419,433,258,260
54B_e,308,312,246,260,270,286,370,370,343,357,236,236,445,453,222,222
54B_w,306,308,230,242,262,278,368,368,329,337,206,224,431,439,300,302
54B_w,300,306,242,266,262,262,368,394,329,337,228,228,431,439,220,228
54B_w,310,312,230,230,270,278,368,394,329,335,208,208,423,439,202,208
54B_w,280,308,230,230,262,274,368,384,329,331,210,210,439,443,250,306
54B_w,308,310,230,256,262,270,368,404,335,335,208,224,431,439,298,302
54B_w,310,316,230,262,242,262,400,416,333,345,208,234,425,449,242,242
54B_w,306,308,230,230,262,270,368,402,335,337,208,224,431,439,300,302
54B_w,298,302,230,248,270,278,370,370,333,341,224,224,427,427,222,222
54B_w,284,304,244,264,260,260,368,394,329,337,228,228,429,437,222,302
54B_w,322,324,230,246,246,262,356,358,333,333,228,228,419,439,218,218
54B_w,306,308,230,266,230,262,394,394,329,329,208,228,439,439,240,302
56B_n,298,314,248,248,262,270,410,410,331,333,216,238,419,431,220,244
56B_n,300,312,246,260,250,282,392,392,333,333,220,232,425,443,234,244
56B_n,290,300,258,258,260,260,390,402,337,341,210,234,427,437,250,258
56B_n,272,280,236,238,246,262,392,404,335,335,210,224,419,449,222,222
56B_n,298,312,250,256,246,270,394,408,329,335,220,236,419,431,230,230
56B_n,246,260,246,260,250,266,390,392,333,335,222,230,431,447,220,220
56B_n,300,322,238,258,250,274,390,390,321,333,232,248,425,447,234,234
56B_n,312,316,250,262,242,270,390,408,329,337,238,240,431,449,242,242
56B_n,304,310,230,242,246,274,384,402,347,359,226,246,417,417,244,244
56B_n,278,314,250,256,246,270,382,408,349,355,220,228,431,431,304,304
56B_n,302,310,246,258,262,270,398,398,351,357,224,230,443,443,224,224
56B_n,284,296,250,250,250,262,384,384,325,333,234,234,427,427,222,326
56B_n,304,306,254,256,266,270,394,394,335,345,222,226,433,451,232,232
56B_s,304,310,230,244,254,258,392,392,333,341,236,236,431,437,222,222
56B_s,264,270,250,260,242,242,392,392,335,369,210,216,431,433,236,246
56B_s,300,310,230,246,254,270,392,392,333,341,232,236,437,449,222,228
56B_s,310,342,244,254,270,274,366,366,329,333,210,228,429,443,226,240
56B_s,304,312,242,244,258,258,398,400,333,333,224,236,431,443,266,266
56B_s,238,260,238,260,262,270,392,404,329,329,210,226,415,429,264,264
56B_s,230,244,230,244,254,258,392,406,333,333,224,236,437,443,228,272
56B_s,302,316,242,260,246,270,366,404,329,353,224,224,429,443,226,240
56B_s,302,304,256,256,246,266,392,398,331,335,210,240,419,429,332,334
56B_s,300,306,254,258,254,270,392,392,331,333,210,216,437,443,224,226
58E_e,312,316,230,252,254,266,402,404,333,339,222,226,419,427,230,230
58E_e,304,318,260,262,262,270,402,402,331,331,202,238,421,429,240,258
58E_e,304,312,252,268,274,274,378,378,331,339,202,226,427,437,230,230
58E_e,282,304,248,262,254,274,396,402,339,355,204,246,431,437,240,258
58E_e,300,308,246,252,266,266,402,404,331,337,222,224,433,441,240,240
58E_e,284,286,230,258,240,282,390,398,325,333,220,224,427,427,290,292
58E_e,310,312,252,252,274,278,406,418,333,333,220,242,427,427,220,244
58E_e,286,308,252,262,254,266,384,384,331,331,224,224,431,433,236,248
58E_e,282,298,246,256,256,266,394,394,337,343,220,270,429,439,222,240
58E_e,282,312,258,264,254,266,402,418,333,355,220,246,419,427,244,258
58E_e,286,300,246,252,262,266,394,402,331,335,210,214,427,435,222,222
58E_e,282,310,246,256,266,274,400,404,355,375,242,246,417,425,220,240
58E_e,290,324,228,250,242,258,386,398,331,333,224,280,427,427,240,240
58E_e,286,304,256,260,262,282,386,396,355,363,202,224,421,427,240,240
58E_e,290,300,252,258,250,272,416,418,333,337,204,228,423,429,222,222
58E_e,300,304,252,260,266,274,370,370,333,333,224,246,431,441,258,266
58E_n,312,314,236,238,254,278,398,400,327,333,226,226,419,449,238,256
58E_n,298,316,236,262,274,274,394,396,333,339,222,222,439,447,256,258
58E_n,290,334,230,262,266,266,398,400,339,347,222,238,423,437,222,232
58E_n,304,304,262,262,254,274,382,398,331,335,204,212,429,441,236,310
58E_n,296,304,236,236,242,262,388,388,327,333,218,224,427,439,246,256
58E_n,312,316,230,256,266,274,396,398,333,343,226,230,419,429,252,258
58E_n,304,322,230,250,254,270,384,384,333,345,224,226,423,431,220,226
58E_n,298,312,236,244,240,258,392,392,327,333,224,224,437,437,226,226
58E_n,272,314,234,244,250,258,394,394,333,341,224,228,427,439,222,228
58E_n,296,308,230,262,250,274,404,404,327,333,228,236,425,425,258,258
58E_n,308,312,246,264,250,266,420,426,335,343,222,226,419,425,254,266
58E_n,304,318,230,248,254,266,378,400,327,327,228,236,427,435,252,252
58E_n,298,312,244,256,258,274,398,400,335,343,222,228,421,447,262,262
58E_n,298,306,260,262,266,274,402,404,333,345,228,234,425,425,256,258
58E_n,290,312,230,248,274,286,402,410,333,343,236,248,419,427,234,258
58E_n,288,308,256,264,250,250,400,400,327,335,216,222,419,429,244,244
58E_n,284,308,256,264,250,262,402,402,333,343,208,208,425,431,258,258
58E_n,298,304,256,262,274,274,396,396,355,355,220,222,429,447,308,310
58E_n,282,284,222,254,254,274,396,398,337,337,226,234,427,435,252,252
58E_n,308,312,228,256,242,262,388,394,331,333,230,236,435,435,228,228
58E_n,246,256,248,252,258,276,394,396,327,337,208,234,429,431,238,238
58E_n,308,312,246,264,250,266,396,396,335,335,222,226,419,425,256,258
58E_n,286,314,260,262,258,262,366,388,341,367,236,238,419,447,244,244
58E_n,290,312,230,262,266,286,408,408,329,339,208,236,427,427,222,234
58E_n,290,306,254,262,270,290,390,392,331,333,222,228,419,443,256,258
58E_n,272,314,258,262,250,278,394,394,333,333,228,228,419,439,228,238
58E_n,296,316,244,264,250,254,406,416,331,333,228,236,425,429,258,260
58E_w,304,324,252,268,246,274,378,378,329,335,222,222,427,437,220,228
58E_w,312,322,254,256,274,278,392,404,327,329,214,224,449,459,252,254
58E_w,324,326,230,230,242,274,386,406,327,339,224,246,429,447,254,256
58E_w,306,316,230,286,258,274,392,392,327,349,222,240,429,447,222,222
58E_w,296,310,256,264,258,282,388,394,327,339,222,246,439,447,234,234
58E_w,312,316,250,256,242,262,392,392,331,353,216,224,427,439,242,252
58E_w,306,308,256,260,262,274,386,388,333,335,204,204,429,449,234,234
58E_w,286,324,248,262,258,258,388,394,333,349,210,222,421,429,242,248
59_e,292,314,248,260,258,278,408,412,333,339,210,210,427,439,226,234
59_e,304,308,254,264,246,262,386,396,323,371,218,254,427,433,240,240
59_e,294,318,244,248,266,274,394,400,331,339,220,232,431,441,220,234
59_e,294,318,244,248,266,274,394,398,331,335,220,232,431,441,220,234
59_e,286,304,248,258,266,270,396,400,303,311,224,228,433,433,220,220
59_e,316,318,230,262,242,274,398,408,351,373,226,230,429,439,244,244
59_e,290,318,242,262,262,282,386,396,331,335,236,236,419,425,254,256
59_n,290,318,244,248,262,274,384,384,341,343,230,232,431,447,254,256
59_n,274,308,248,262,242,266,398,400,335,343,214,224,427,449,292,294
59_n,290,300,234,238,270,274,398,400,333,335,242,242,429,449,220,242
59_n,290,296,230,230,278,278,382,406,321,335,202,206,429,435,248,260
59_n,288,316,244,258,252,272,404,432,331,339,224,242,429,443,220,234
59_n,290,300,244,262,258,266,382,404,331,339,236,240,435,439,224,232
59_n,294,310,230,250,240,282,396,404,331,335,230,244,419,419,220,228
59_n,316,318,248,256,242,274,384,410,331,365,214,240,429,449,254,256
59_n,290,294,230,248,242,278,402,402,331,365,244,274,437,449,312,314
59_n,304,318,258,264,242,278,406,406,331,331,218,220,433,447,246,246
59_n,290,318,244,248,262,274,384,410,341,351,232,232,429,447,250,264
59_n,316,318,244,264,242,262,384,408,325,333,212,214,447,447,226,240
59_n,300,316,248,258,242,278,400,400,335,339,238,240,421,441,220,242
59_n,298,300,230,258,242,290,384,390,333,349,210,242,439,449,236,236
59_n,292,292,248,256,242,282,366,382,331,367,208,208,421,431,208,254
59_n,286,290,244,264,242,274,384,384,331,341,220,230,429,429,254,256
59_n,286,318,248,248,242,274,382,406,331,343,220,230,429,429,224,226
59_n,298,300,248,262,242,266,388,388,331,343,228,240,419,437,222,250
59_n,288,300,230,278,246,266,386,402,333,341,222,224,419,439,220,220
59_n,278,278,230,244,246,278,402,402,331,339,214,230,419,431,220,220
59_s,302,306,248,262,254,258,392,398,327,347,204,210,435,437,220,220
59_s,312,316,236,250,242,254,400,402,331,335,224,226,437,439,244,254
59_s,316,318,230,254,250,262,392,402,327,355,220,234,431,439,222,222
59_s,286,304,236,248,242,242,394,404,331,335,220,224,437,449,218,222
59_s,304,328,248,260,274,292,376,394,331,339,238,246,427,429,220,244
59_s,290,318,242,254,246,270,406,410,325,325,210,236,429,445,250,262
59_s,302,314,248,252,254,278,390,408,343,347,210,238,419,429,220,220
59_s,300,302,230,248,254,254,374,398,321,329,204,212,437,449,246,246
59_s,286,290,242,242,262,270,392,398,329,349,220,220,441,447,256,258
59_s,304,314,252,270,278,290,392,418,327,335,214,218,425,449,254,256
59_s,284,316,230,248,282,282,390,406,335,351,212,240,427,437,244,244
59_s,290,304,230,262,242,274,394,398,331,347,204,222,423,437,228,228
59_s,302,308,248,262,254,258,392,398,327,347,204,210,433,433,218,220
59_s,304,326,248,252,254,254,398,410,327,341,212,224,417,427,212,224
59_s,262,270,248,264,262,266,382,382,341,351,218,224,423,427,246,252
59_s,290,310,230,248,230,244,388,390,347,349,246,274,423,437,248,256
59_s,316,316,236,248,246,282,390,390,331,335,212,224,427,437,218,224
60D_e,308,318,248,256,266,282,398,398,331,337,210,234,435,449,254,254
60D_e,284,314,230,250,282,294,388,396,339,339,212,212,451,463,222,242
60D_e,300,300,254,256,242,278,396,406,333,363,224,228,425,437,220,228
60D_e,304,310,236,236,238,266,378,390,341,343,210,220,419,427,220,232
60D_e,300,310,250,258,236,274,388,396,327,335,204,228,425,425,220,244
60D_e,296,298,230,236,240,278,394,404,333,343,228,248,425,435,220,240
60D_e,300,310,210,210,274,278,388,394,335,339,204,228,419,427,236,258
60D_e,308,310,242,248,266,266,376,390,363,363,230,246,419,441,244,244
60D_e,332,354,248,258,262,286,390,390,327,341,224,224,423,437,220,220
60D_e,308,346,242,256,266,286,390,400,327,337,220,226,427,431,244,258
60D_e,308,320,248,256,262,282,390,398,327,337,210,210,427,437,286,288
60D_e,290,320,238,260,250,286,398,398,333,347,204,250,433,433,242,244
60D_e,302,312,242,256,262,266,390,402,347,357,220,220,421,437,286,288
60D_e,284,302,236,254,250,278,396,400,327,333,224,234,427,437,222,294
60D_e,300,304,254,256,246,286,390,390,335,337,220,240,413,417,214,218
60D_e,284,284,230,250,262,282,388,388,339,339,212,212,445,449,258,260
60D_n,278,300,252,260,246,246,390,390,329,333,208,226,419,437,244,244
60D_n,300,304,238,252,258,286,352,366,341,353,226,236,427,431,226,232
60D_n,302,320,230,256,250,262,398,400,337,349,220,226,427,441,256,260
60D_n,290,306,230,252,270,274,390,392,337,349,210,220,421,427,222,236
60D_n,286,286,230,260,274,278,390,404,327,333,204,226,441,457,204,290
60D_n,300,302,230,238,258,282,394,396,335,347,208,212,425,431,236,244
60D_n,278,320,246,256,250,262,406,436,337,343,212,226,421,441,228,228
60D_n,298,298,230,230,250,262,394,400,343,343,210,210,437,437,222,222
60D_n,304,324,238,260,262,262,392,394,333,353,226,250,427,457,290,292
60D_n,304,312,250,250,262,262,396,398,333,337,234,252,419,427,222,292
60D_n,302,320,230,256,250,262,400,438,327,333,220,226,427,441,262,264
60D_n,278,330,256,256,276,304,394,396,337,337,208,214,429,437,222,222
60D_s,290,300,230,250,246,274,352,366,327,331,210,230,425,435,222,222
60D_s,300,300,250,264,246,262,402,404,333,335,234,238,425,439,288,290
60D_s,278,312,230,246,262,270,388,394,343,367,232,254,419,425,248,260
60D_s,300,302,238,250,250,274,390,398,347,367,230,248,431,439,258,260
60D_s,280,282,218,236,254,262,382,410,335,343,210,210,431,431,252,264
60D_s,290,300,230,250,246,274,406,406,327,331,210,230,425,433,220,222
60D_s,308,314,246,260,262,262,392,400,327,327,210,228,419,445,222,222
60D_s,300,306,244,254,254,278,388,390,331,335,210,224,437,439,216,220
60D_s,312,320,230,238,266,266,390,390,327,339,212,234,451,475,220,220
60D_s,278,302,230,248,246,262,394,394,343,367,230,238,419,425,228,246
60D_s,288,308,238,264,250,254,360,388,353,355,224,228,427,431,222,222
60D_s,298,306,230,238,254,262,392,394,333,345,224,224,419,441,254,274
60D_s,286,302,230,250,258,278,362,388,325,333,212,224,415,431,254,262
60D_s,304,308,252,252,246,278,318,412,341,343,220,244,425,445,222,222
60D_s,304,312,230,248,246,262,436,438,335,343,210,228,419,457,246,246
60D_s,286,300,238,260,254,270,392,392,331,359,236,238,425,437,254,290
60D_s,300,302,230,266,246,274,388,392,331,331,204,228,421,429,248,252
61A_e,290,312,230,256,254,282,374,390,331,333,234,246,429,431,254,254
61A_e,308,310,252,252,262,302,398,400,331,333,220,230,429,431,234,234
61A_e,302,312,250,262,274,304,408,408,331,331,204,220,419,427,228,260
61A_e,330,362,230,254,258,258,360,386,331,347,214,254,427,437,214,216
61A_e,290,312,230,254,254,282,374,386,331,341,234,246,429,435,234,254
61A_e,290,310,230,252,282,302,388,388,331,331,230,246,429,431,254,254
61A_e,290,290,242,256,254,282,374,384,331,341,224,224,427,427,236,256
