,Ri,Label,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34
36,39,ARC043,61B_n,312,256,274,408,333,224,431,222
37,40,ARC044,60D_n,320,256,262,400,349,226,441,260
38,41,ARC047,58E_n,304,236,262,388,333,224,439,256
39,42,ARC048,58E_n,316,256,274,398,343,230,429,258
40,43,ARC049,44_e,282,262,262,398,331,228,429,220
41,44,ARC050,44_e,282,244,262,396,347,236,423,246
42,45,ARC051,44_n,316,252,266,398,353,224,433,254
43,46,ARC052,44_n,318,244,262,408,351,224,439,234
44,47,ARC053,41A_w,308,236,282,408,339,226,433,286
45,48,ARC054,60D_n,306,252,274,392,349,220,427,236
46,49,ARC055,60D_e,318,256,282,398,337,234,449,254
47,50,ARC056,61A_s,314,256,274,398,349,226,421,254
48,52,ARC060,48B_e,300,264,266,390,337,226,427,226
49,53,ARC063,54B_e,310,258,242,392,333,236,429,254
50,55,ARC065,44_s,316,254,270,418,349,224,431,242
51,56,ARC066,59_n,300,238,274,400,335,242,449,242
52,57,ARC067,61A_n,310,264,274,418,335,220,427,224
53,58,ARC068,48B_e,296,260,258,416,331,226,429,244
54,59,ARC069,54B_e,310,256,262,368,337,224,433,224
55,60,ARC071,56B_s,310,246,270,392,341,236,449,228
56,63,ARC076,59_n,296,230,278,406,335,206,435,260
57,64,ARC077,61B_e,288,252,286,390,335,212,435,220
58,65,ARC078,61B_n,312,252,274,404,333,220,419,220
59,66,ARC079,61B_n,306,260,254,386,331,228,439,244
60,67,ARC080,61B_s,300,250,262,392,341,234,437,240
61,68,ARC082,61B_s,314,250,270,396,335,224,435,220
62,69,ARC083,58E_e,304,262,274,402,355,246,437,258
63,70,ARC085,44_s,314,260,274,398,335,232,431,240
64,71,ARC086,59_e,318,248,274,398,335,232,441,234
65,72,ARC089,44_e,314,262,286,392,339,224,451,264
66,73,ARC090,46_n,308,262,282,406,339,230,451,224
67,74,ARC091,60D_e,300,256,278,406,363,228,437,228
68,75,ARC092,61B_n,306,250,266,394,333,222,423,216
69,76,ARC093,61A_s,320,258,274,392,337,242,437,218
70,77,ARC094,58E_n,322,250,270,384,345,226,431,226
71,78,ARC095,54B_w,306,266,262,394,337,228,439,228
72,79,ARC096,56B_n,312,260,282,392,333,232,443,244
73,80,ARC097,46_n,314,264,278,404,345,230,431,236
74,81,ARC099,43A_n,304,262,258,398,339,232,453,234
75,82,ARC100,59_s,302,248,254,398,329,212,449,246
76,83,ARC102,61A_s,310,258,258,398,333,228,429,224
77,84,ARC103,61A_s,310,256,274,392,335,234,431,240
78,85,ARC104,61B_n,304,242,274,386,365,220,449,272
79,87,ARC108,54B_e,310,260,258,386,335,224,427,220
80,88,ARC110,43A_e,306,250,266,400,339,214,429,230
81,90,ARC112,44_n,306,258,266,392,361,212,431,248
82,91,ARC113,59_s,290,242,270,398,349,220,447,258
83,92,ARC114,59_s,314,270,290,418,335,218,449,256
84,93,ARC115,61B_n,312,258,274,392,343,220,437,220
85,94,ARC116,61B_n,290,230,274,400,339,230,437,220
86,95,ARC117,61B_s,322,248,254,392,337,234,441,226
87,96,ARC118,61B_s,276,254,268,402,335,234,435,244
88,97,ARC119,60D_e,310,236,266,390,343,220,427,232
89,98,ARC123,58E_w,326,230,274,406,339,246,447,256
90,99,ARC124,58E_e,308,252,266,404,337,224,441,240
91,100,ARC125,41A_w,308,262,272,398,353,226,437,228
92,101,ARC126,43A_e,312,252,266,400,353,242,437,234
93,102,ARC128,44_e,306,262,266,410,351,220,431,228
94,103,ARC130,59_n,300,262,266,404,339,240,439,232
95,104,ARC131,61A_n,320,250,278,388,337,240,419,260
96,105,ARC132,61B_n,310,258,266,390,349,220,421,222
97,106,ARC133,61B_n,310,230,278,394,335,246,427,248
98,107,ARC134,61B_n,310,248,278,400,335,226,431,264
99,108,ARC135,60D_e,310,258,274,396,335,228,425,244
100,109,ARC136,60D_n,302,238,282,396,347,212,431,244
101,110,ARC137,61B_s,306,230,266,394,333,224,439,266
102,111,ARC138,61B_s,308,248,258,390,341,224,437,234
103,113,ARC142,48B_s,314,270,258,394,333,226,433,234
104,114,ARC143,54B_w,312,230,278,394,335,208,439,208
