Ri,HL,IR,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34,Years Since,Fires
R37,0.1276459637,0.0524844243,43A_e,32,40,21,23,19,23,41,44,17,19,4,14,8,13,20,20,10,3
R38,0.1224046281,0.0693211035,43A_n,37,38,14,27,13,15,40,44,19,19,11,16,16,25,14,17,10,3
R39,0.2548881735,0.1941374857,43A_n,38,38,13,14,13,15,41,47,15,16,7,10,4,22,14,14,10,3
R40,0.254391545,0.2120977066,43A_n,28,38,19,27,15,27,38,38,19,24,9,19,4,5,17,17,10,3
R41,0.0,-0.0711527387,43A_n,36,38,27,30,13,17,42,43,14,21,2,14,8,17,7,20,10,3
R42,0.1224789711,0.0646309019,43A_n,38,40,14,27,15,15,38,44,14,19,9,16,9,14,14,17,10,3
R43,0.0,-0.0635514071,43A_n,25,40,14,27,16,24,38,45,14,16,16,18,13,15,17,23,10,3
R45,0.3725295629,0.3133404972,44_e,20,27,18,27,17,17,38,44,15,15,12,14,11,13,10,10,20,1
R46,0.3707643059,0.3345165486,44_e,20,27,18,18,17,17,38,43,15,23,6,18,10,10,18,23,20,1
R47,0.1251973113,0.0470655181,44_e,40,43,26,27,17,29,38,41,16,19,12,12,15,24,31,32,20,1
R48,0.0,-0.0945868724,44_e,38,39,21,27,17,19,30,50,16,25,5,10,12,14,10,14,20,1
R49,0.1267455812,0.0621280367,44_e,38,39,16,25,21,23,42,42,25,30,12,19,11,18,11,23,20,1
R51,0.1276459637,0.0472095146,44_e,36,40,20,27,19,25,29,38,16,28,6,13,15,24,11,11,20,1
R52,0.252439521,0.1895665317,44_e,38,38,20,24,19,21,29,37,24,28,13,13,12,14,14,18,20,1
R53,0.3747147488,0.3161759814,44_e,44,45,25,25,7,29,42,49,16,16,10,15,12,22,10,10,20,1
R54,0.1236211779,0.0472161549,44_e,36,43,10,21,15,17,29,34,16,18,10,12,14,14,15,23,20,1
R55,0.1267455812,0.0437032348,44_e,40,43,19,21,17,19,29,29,16,22,6,12,12,14,6,12,20,1
R56,0.124664157,0.0514528772,44_e,41,44,27,27,13,21,29,38,14,16,4,13,11,15,11,23,20,1
R57,0.1251973113,0.0756223568,44_e,31,33,25,26,13,15,28,43,18,20,17,17,9,11,27,34,20,1
R58,0.3749184921,0.3211763639,44_e,39,39,19,21,17,17,29,44,18,22,12,12,7,14,15,23,20,1
R59,0.1267455812,0.0469302365,44_e,25,39,19,27,17,19,29,29,16,22,6,12,12,14,6,12,20,1
R62,0.1276459637,0.0713854124,44_e,20,36,23,25,7,21,41,49,15,28,10,13,8,22,13,13,20,1
R63,0.1276459637,0.0585292117,44_e,38,40,18,20,13,29,38,42,17,27,14,18,9,24,10,10,20,1
R64,0.1272422098,0.0664443211,44_e,20,20,20,27,13,19,38,42,30,32,6,16,11,14,11,23,20,1
R65,0.1251973113,0.0643697491,44_e,37,38,19,26,11,17,43,48,22,27,13,13,7,11,11,23,20,1
R67,0.1276459637,0.0590871984,44_e,20,37,18,26,13,17,48,49,20,26,13,23,12,18,10,10,20,1
