Ri,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34,Years Since,Fires
R23,43A_e,30,32,20,22,11,17,32,47,21,21,11,15,11,26,16,16,10,3
R24,43A_e,32,39,18,21,13,19,41,45,13,19,4,7,10,13,15,15,10,3
R25,43A_e,38,42,22,22,19,19,41,45,14,26,4,21,16,17,15,17,10,3
R26,43A_e,27,34,18,26,13,23,42,45,17,21,4,4,10,15,20,20,10,3
R27,43A_e,36,40,23,27,19,23,44,44,20,21,14,14,8,17,16,20,10,3
R28,43A_e,32,32,15,23,13,23,42,44,27,29,14,14,10,10,15,20,10,3
R29,43A_e,28,38,18,28,18,23,42,42,19,21,5,10,7,9,41,42,10,3
R30,43A_e,28,38,17,19,13,21,43,44,14,19,19,27,13,26,24,24,10,3
R31,43A_e,27,27,20,22,7,15,45,48,15,15,4,5,12,14,20,21,10,3
R32,43A_e,24,41,14,19,13,19,43,44,19,25,7,10,7,13,20,40,10,3
R33,43A_e,32,40,18,23,8,13,41,50,19,22,4,14,8,10,15,16,10,3
R34,43A_e,38,40,26,27,16,23,42,43,17,21,13,18,8,15,20,20,10,3
R35,43A_e,32,36,18,23,8,13,44,44,17,17,14,18,10,18,20,20,10,3
R36,43A_e,36,39,18,27,13,19,41,44,17,19,7,13,13,18,16,16,10,3
R37,43A_e,32,40,21,23,19,23,41,44,17,19,4,14,8,13,20,20,10,3
R38,43A_n,37,38,14,27,13,15,40,44,19,19,11,16,16,25,14,17,10,3
R39,43A_n,38,38,13,14,13,15,41,47,15,16,7,10,4,22,14,14,10,3
R40,43A_n,28,38,19,27,15,27,38,38,19,24,9,19,4,5,17,17,10,3
R41,43A_n,36,38,27,30,13,17,42,43,14,21,2,14,8,17,7,20,10,3
R42,43A_n,38,40,14,27,15,15,38,44,14,19,9,16,9,14,14,17,10,3
R43,43A_n,25,40,14,27,16,24,38,45,14,16,16,18,13,15,17,23,10,3
R44,44_e,39,40,20,22,17,19,29,42,28,33,17,19,14,14,11,14,20,1
R45,44_e,20,27,18,27,17,17,38,44,15,15,12,14,11,13,10,10,20,1
R46,44_e,20,27,18,18,17,17,38,43,15,23,6,18,10,10,18,23,20,1
R47,44_e,40,43,26,27,17,29,38,41,16,19,12,12,15,24,31,32,20,1
R48,44_e,38,39,21,27,17,19,30,50,16,25,5,10,12,14,10,14,20,1
R49,44_e,38,39,16,25,21,23,42,42,25,30,12,19,11,18,11,23,20,1
R50,44_e,34,36,23,26,19,21,29,49,18,28,17,31,14,24,8,10,20,1
R51,44_e,36,40,20,27,19,25,29,38,16,28,6,13,15,24,11,11,20,1
R52,44_e,38,38,20,24,19,21,29,37,24,28,13,13,12,14,14,18,20,1
R53,44_e,44,45,25,25,7,29,42,49,16,16,10,15,12,22,10,10,20,1
R54,44_e,36,43,10,21,15,17,29,34,16,18,10,12,14,14,15,23,20,1
R55,44_e,40,43,19,21,17,19,29,29,16,22,6,12,12,14,6,12,20,1
R56,44_e,41,44,27,27,13,21,29,38,14,16,4,13,11,15,11,23,20,1
R57,44_e,31,33,25,26,13,15,28,43,18,20,17,17,9,11,27,34,20,1
R58,44_e,39,39,19,21,17,17,29,44,18,22,12,12,7,14,15,23,20,1
R59,44_e,25,39,19,27,17,19,29,29,16,22,6,12,12,14,6,12,20,1
R60,44_e,43,44,22,27,17,19,40,49,38,38,13,25,7,12,60,62,20,1
R61,44_e,25,39,19,21,17,17,29,49,32,35,15,17,12,14,14,60,20,1
R62,44_e,20,36,23,25,7,21,41,49,15,28,10,13,8,22,13,13,20,1
R63,44_e,38,40,18,20,13,29,38,42,17,27,14,18,9,24,10,10,20,1
R64,44_e,20,20,20,27,13,19,38,42,30,32,6,16,11,14,11,23,20,1
R65,44_e,37,38,19,26,11,17,43,48,22,27,13,13,7,11,11,23,20,1
R66,44_e,25,40,19,27,17,19,29,29,26,32,7,23,13,14,59,59,20,1
R67,44_e,20,37,18,26,13,17,48,49,20,26,13,23,12,18,10,10,20,1
R68,44_e,38,40,20,25,25,25,47,51,20,30,12,18,8,13,10,23,20,1
R69,44_e,20,38,19,21,11,15,34,48,19,23,12,12,1,9,15,15,20,1
