Ri,Enclosure,HL,IR,Locus,Nr 52.2,Locus,Nr 52.4,Locus,Nr 52.7,Locus,Nr 52.11,Locus,Nr 60.2,Locus,Nr 60.5,Locus,Nr 60.11,Locus,Nr 60.34
R21,41A_w,0,-0.0599786451,272,294,238,250,262,270,384,388,335,351,214,232,429,441,220,236
R22,41A_w,0.2491502093,0.201537839,306,316,246,248,254,262,388,388,329,329,210,226,433,443,250,252
R23,43A_e,0.2500505918,0.2132201804,288,292,248,252,250,262,374,404,343,343,222,230,425,455,232,232
R24,43A_e,0.1276459637,0.0669828377,292,306,244,250,254,266,392,400,327,339,208,214,423,429,230,230
R25,43A_e,0.2471431281,0.2015897691,304,312,252,252,266,266,392,400,329,353,208,242,435,437,230,234
R26,43A_e,0.252843275,0.2001566189,282,296,244,260,254,274,394,400,335,343,208,208,423,433,240,240
R27,43A_e,0.2519428925,0.1943672861,300,308,254,262,266,274,398,398,341,343,228,228,419,437,232,240
R28,43A_e,0.3760606989,0.3413140605,292,292,238,254,254,274,394,398,355,359,228,228,423,423,230,240
R29,43A_e,0.1267455812,0.0781001552,284,304,244,264,264,274,394,394,339,343,210,220,417,421,282,284
R30,43A_e,0.1276459637,0.0776475235,284,304,242,246,254,270,396,398,329,339,238,254,429,455,248,248
R31,43A_e,0.2496468379,0.1978015019,282,282,248,252,242,258,400,406,331,331,208,210,427,431,240,242
R32,43A_e,0,-0.0623378397,276,310,236,246,254,266,396,398,339,351,214,220,417,429,240,280
R33,43A_e,0,-0.0547873471,292,308,244,254,244,254,392,410,339,345,208,228,419,423,230,232
R34,43A_e,0.1276459637,0.0569586209,304,308,260,262,260,274,394,396,335,343,226,236,419,433,240,240
R35,43A_e,0.376796173,0.333748593,292,300,244,254,244,254,398,398,335,335,228,236,423,439,240,240
R36,43A_e,0.1276459637,0.0560642027,300,306,244,262,254,266,392,398,335,339,214,226,429,439,232,232
R37,43A_e,0.1276459637,0.0524844243,292,308,250,254,266,274,392,398,335,339,208,228,419,429,240,240
R38,43A_n,0.1224046281,0.0693211035,302,304,236,262,254,258,390,398,339,339,222,232,435,453,228,234
R39,43A_n,0.2548881735,0.1941374857,304,304,234,236,254,258,392,404,331,333,214,220,411,447,228,228
R40,43A_n,0.254391545,0.2120977066,284,304,246,262,258,282,386,386,339,349,218,238,411,413,234,234
R41,43A_n,0,-0.0711527387,300,304,262,268,254,262,394,396,329,343,204,228,419,437,214,240
R42,43A_n,0.1224789711,0.0646309019,304,308,236,262,258,258,386,398,329,339,218,232,421,431,228,234
R43,43A_n,0,-0.0635514071,278,308,236,262,260,276,386,400,329,333,232,236,429,433,234,246
R44,44_e,0.1236211779,0.0529707311,306,308,248,252,262,266,368,394,357,367,234,238,431,431,222,228
R45,44_e,0.3725295629,0.3133404972,268,282,244,262,262,262,386,398,331,331,224,228,425,429,220,220
R46,44_e,0.3707643059,0.3345165486,268,282,244,244,262,262,386,396,331,347,212,236,423,423,236,246
R47,44_e,0.1251973113,0.0470655181,308,314,260,262,262,286,386,392,333,339,224,224,433,451,262,264
R48,44_e,0,-0.0945868724,304,306,250,262,262,266,370,410,333,351,210,220,427,431,220,228
R49,44_e,0.1267455812,0.0621280367,304,306,240,258,270,274,394,394,351,361,224,238,425,439,222,246
R50,44_e,0,-0.058545462,296,300,254,260,266,270,368,408,337,357,234,262,431,451,216,220
R51,44_e,0.1276459637,0.0472095146,300,308,248,262,266,278,368,386,333,357,212,226,433,451,222,222
R52,44_e,0.252439521,0.1895665317,304,304,248,256,266,270,368,384,349,357,226,226,427,431,228,236
R53,44_e,0.3747147488,0.3161759814,316,318,258,258,242,286,394,408,333,333,220,230,427,447,220,220
R54,44_e,0.1236211779,0.0472161549,300,314,228,250,258,262,368,378,333,337,220,224,431,431,230,246
R55,44_e,0.1267455812,0.0437032348,308,314,246,250,262,266,368,368,333,345,212,224,427,431,212,224
R56,44_e,0.124664157,0.0514528772,310,316,262,262,254,270,368,386,329,333,208,226,425,433,222,246
R57,44_e,0.1251973113,0.0756223568,290,294,258,260,254,258,366,396,337,341,234,234,421,425,254,268
R58,44_e,0.3749184921,0.3211763639,306,306,246,250,262,262,368,398,337,345,224,224,417,431,230,246
